date,source_type,page,city,campaign_id,group_id,ad_id,keyword_id,calls
2/7/20,referral,/dvuxstvorchatyie/,Астрахань,,,,,1
2/7/20,referral,/s-zerkalom/,Москва,,,,,3
2/7/20,referral,/vxodnyie-dveri/,Москва,,,,,1
2/8/20,direct,/,Клифтон,,,,,1
2/8/20,direct,/podezdnaya-dver-pd16#mob1571=,Красногорск,,,,,1
2/8/20,direct,/ulichnaya-vxodnaya-dver-prajm,Москва,,,,,1
2/8/20,direct,/vxodnaya-dver-prometej-lyuks,Балашиха,,,,,1
2/8/20,organic,/,Москва,,,,,2
2/8/20,organic,/dobory,Москва,,,,,1
2/8/20,organic,/dver-3-klassa-zashhityi-serti,Зеленогорск,,,,,1
2/8/20,organic,/dveri-s-termorazryivom/,Москва,,,,,2
2/8/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/8/20,organic,/elitnye-vhodnye-dveri-v-kvart,,,,,,1
2/8/20,organic,/podezdnaya-dver-pd16,Москва,,,,,1
2/8/20,organic,/s-shumoizolyacziej/,Краснодар,,,,,1
2/8/20,organic,/vent-reshetka-protivopozharna,Казань,,,,,1
2/8/20,organic,/vent-reshetka-protivopozharna,Клин,,,,,1
2/8/20,organic,/vent-reshetka-protivopozharna,Москва,,,,,1
2/8/20,organic,/vorota-v-transformatornuyu,Москва,,,,,1
2/8/20,organic,/vxodnaya-dver-model-luna,Калуга,,,,,1
2/8/20,organic,/zamok-kale-282-rd-(osnovnoj-p,Москва,,,,,1
2/8/20,referral,/model-termo-sklad?ymclid=1554,Москва,,,,,1
2/8/20,referral,/vxodnaya-v-kvartiru-grafit-so,Москва,,,,,2
2/9/20,direct,/elitnye-vhodnye-dveri-v-kvart,Харьков,,,,,1
2/9/20,organic,/,Москва,,,,,1
2/9/20,organic,/dver-lp-1-lyuk-protivopozharn,Тольятти,,,,,1
2/9/20,organic,/dveri-s-termorazryivom/,Москва,,,,,2
2/9/20,organic,/dveri-so-skidkoj/,Казань,,,,,1
2/9/20,organic,/dveri-uteplennye/,Москва,,,,,1
2/9/20,organic,/elitnye-vhodnye-dveri-v-kvart,Москва,,,,,1
2/9/20,organic,/ruchka-skoba-ferz,Миасс,,,,,1
2/9/20,organic,/s-shumoizolyacziej/,Москва,,,,,1
2/9/20,organic,/s-shumoizolyacziej/,Нижний Новгород,,,,,1
2/9/20,organic,/urovni-shumoizolyaczii-vxodny,Петрозаводск,,,,,1
2/9/20,paid,/arochnye-dveri/,Электросталь,1194086,153787378,369955377,513993814,1
2/9/20,paid,/s-zerkalom/,Солнечногорск,1370731,171187471,416106521,584734243,1
2/9/20,referral,/,Москва,,,,,1
2/10/20,direct,/vxodnaya-dver-dlya-zagorodnog,Москва,,,,,1
2/10/20,organic,/,Москва,,,,,1
2/10/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/10/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/10/20,organic,/dvuxstvorchatyie/,Когалым,,,,,1
2/10/20,organic,/elitnye-vhodnye-dveri-v-kvart,Москва,,,,,1
2/10/20,organic,/nemeckij-uplotnitel,Москва,,,,,1
2/10/20,paid,/s-zerkalom/,Москва,1370731,171187443,416106541,584734317,1
2/10/20,paid,/s-zerkalom/,Пушкино,1370731,171187471,416106521,584734243,1
2/10/20,referral,/vxodnaya-v-kvartiru-grafit-so,Москва,,,,,1
2/11/20,direct,/,Липецк,,,,,1
2/11/20,organic,/,Москва,,,,,3
2/11/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/11/20,organic,/dveri-uteplennye/,Химки,,,,,1
2/11/20,organic,/v-kassu/,Черкесск,,,,,1
2/11/20,organic,/vorota-v-transformatornuyu,Белёв,,,,,1
2/11/20,organic,/zamok-zpu-tp-rp,Москва,,,,,1
2/11/20,paid,/s-zerkalom/,Москва,1370731,171187445,416106543,584734325,1
2/11/20,paid,/s-zerkalom/,Москва,1370731,171187455,416330297,584734197,1
2/11/20,paid,/s-zerkalom/,Москва,1370731,171187475,416106525,584734251,1
2/11/20,referral,/,Москва,,,,,1
2/12/20,organic,/dveri-s-termorazryivom/,Львов,,,,,1
2/12/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/12/20,organic,/dveri-so-skidkoj/,Москва,,,,,2
2/12/20,organic,/dveri-uteplennye/,Москва,,,,,1
2/12/20,organic,/nemef-protivopozharnyij,Москва,,,,,1
2/12/20,organic,/paradnaya-stalnaya-dver-drama,Москва,,,,,1
2/12/20,organic,/s-shumoizolyacziej/,Краснодар,,,,,1
2/12/20,organic,/s-shumoizolyacziej/,Москва,,,,,3
2/12/20,organic,/s-shumoizolyacziej/,Ростов-на-Дону,,,,,1
2/12/20,organic,/vinorit/,Москва,,,,,1
2/12/20,paid,/s-zerkalom/,Королёв,1370731,171187471,416330321,584734243,1
2/12/20,paid,/s-zerkalom/,Москва,1370731,171187445,416106543,584734323,1
2/12/20,paid,/s-zerkalom/,Москва,1370731,171187455,416106553,584734197,1
2/13/20,organic,/dveri-s-termorazryivom/,Монино,,,,,1
2/13/20,organic,/elitnye-vhodnye-dveri-v-kvart,Москва,,,,,1
2/13/20,organic,/podezdnye/,Грозный,,,,,1
2/13/20,organic,/podezdnye/,Краснодар,,,,,1
2/13/20,organic,/poroshkovoe-napyilenie,Ижевск,,,,,1
2/13/20,organic,/s-shumoizolyacziej/,Москва,,,,,2
2/13/20,organic,/s-shumoizolyacziej/,Санкт-Петербург,,,,,1
2/13/20,paid,/s-shumoizolyacziej/,Москва,1370731,171187447,416106545,584734331,1
2/13/20,paid,/s-zerkalom/,Москва,1370731,171187471,416106521,584734243,1
2/13/20,referral,/dachnaya-termo-prof?frommarke,Балашиха,,,,,1
2/14/20,direct,/vxodnaya-v-kvartiru-grafit-so,Санкт-Петербург,,,,,1
2/14/20,organic,/,Махачкала,,,,,1
2/14/20,organic,/dveri-s-kovkoj/,Москва,,,,,1
2/14/20,organic,/dveri-s-termorazryivom/,Москва,,,,,3
2/14/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/14/20,organic,/dveri-uteplennye/,Щёлково,,,,,1
2/14/20,organic,/dvuxstvorchatyie/,Москва,,,,,1
2/14/20,organic,/elitnye-vhodnye-dveri-v-kvart,Санкт-Петербург,,,,,1
2/14/20,paid,/s-shumoizolyacziej/,Москва,1370731,171273123,416330327,584989543,1
2/14/20,paid,/s-zerkalom/,Люберцы,1370731,171187453,416106551,584734191,1
2/14/20,paid,/s-zerkalom/,Москва,1370731,171187475,416106525,584734251,1
2/14/20,paid,/s-zerkalom/,Москва,1370731,171187475,416330315,584734251,1
2/14/20,referral,/catalog/aktsija/,Курган,,,,,1
2/14/20,referral,/ulichnaya-dver-s-termorazryiv,Москва,,,,,1
2/15/20,organic,/dver-protivopozharnaya-skryit,Москва,,,,,1
2/15/20,organic,/dveri-iz-massiva-duba/,Воронеж,,,,,1
2/15/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/15/20,organic,/dveri-s-termorazryivom/,Стокгольм,,,,,1
2/15/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/15/20,organic,/metallicheskaya-vxodnaya-dver,Москва,,,,,1
2/15/20,organic,/model-nord-1,Москва,,,,,1
